path , default , custom, defult_w_count, custom_w_count , defult_w_count_percentage , custom_w_count_percentage , default_wer , default_wacc , custom_wer, custom_wacc
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\47 - Lesson Review.srt.res ,0.027272727,0.844444444,0,0,0,0,91.67,8.33,24.4,75.6
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\01 - Lesson Preview.srt.res ,0.188640974,0.190359976,5,29,3.875968992,22.48062016,10.62,89.38,1.26,98.74
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\02 - PThread Creation.srt.res ,0.023989484,0.009847807,0,4,0,0.42462845,2.47,97.53,1.76,98.24
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\03 - Compiling PThreads.srt.res ,0.041329739,0.017847769,0,8,0,4.848484848,4.36,95.64,11.77,88.23
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\04 - PThread Creation Example 1.srt.res ,0.010575017,0.016962221,0,18,0,15.78947368,17.89,82.11,25.66,74.34
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\05 - PThread Creation Quiz 1.srt.res ,0.292307692,0.849557522,1,0,4.347826087,0,94.02,5.98,21.37,78.63
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\06 - PThread Creation Quiz 1.srt.res ,0.768768769,0.791411043,0,0,0,0,28.98,71.02,26.14,73.86
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\07 - PThread Creation Example 2.srt.res ,0.057204533,0.036548223,55,1,27.22772277,0.495049505,20.84,79.16,7.53,92.47
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\08 - PThread Creation Quiz 2.srt.res ,0.04784689,0.839650146,0,7,0,25.92592593,81.77,18.23,22.65,77.35
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\09 - PThread Creation Quiz 2.srt.res ,0.020571429,0.089363769,1,17,0.456621005,7.762557078,9.32,90.68,4.2,95.8
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\10 - PThread Creation Example 3.srt.res ,0.065016624,0.086633663,1,9,0.222717149,2.004454343,6.96,93.04,1.02,98.98
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\11 - PThread Creation Quiz 3.srt.res ,0.846590909,0.845938375,4,11,12.5,34.375,23.32,76.68,22.8,77.2
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L3_ Threads Case Study_ PThreads\12 - PThread Creation Quiz 3.srt.res ,0.547683924,0.134228188,28,27,40.57971014,39.13043478,14.1,85.9,19.58,80.42
